;date;RR;Tn;Tx;Tavg;RH_avg;ss;ff_x;ff_avg;ddd_x;ddd_car
238544;18/03/2010;0.0;24.5;30.0;25.4;94.0;1.5;3.0;1.0;180.0;S 
238545;19/03/2010;26.5;23.4;32.6;27.3;84.0;7.8;2.0;2.0;315.0;S 
238546;20/03/2010;;24.7;31.4;27.4;87.0;2.4;3.0;2.0;360.0;S 
238547;21/03/2010;27.6;23.8;31.0;26.8;87.0;3.1;2.0;2.0;360.0;N 
238548;22/03/2010;70.3;22.8;30.9;26.4;90.0;1.2;3.0;1.0;225.0;N 
238549;23/03/2010;4.0;23.6;31.8;26.7;88.0;4.2;2.0;2.0;270.0;W 
238550;24/03/2010;;25.0;29.8;26.2;93.0;2.1;4.0;2.0;315.0;N 
238551;25/03/2010;6.0;23.2;31.2;26.2;90.0;1.7;2.0;2.0;315.0;E 
238552;26/03/2010;0.1;24.8;32.2;26.9;92.0;1.6;2.0;1.0;225.0;W 
238553;27/03/2010;6.0;24.0;31.1;26.6;86.0;2.4;5.0;2.0;135.0;W 
238554;28/03/2010;12.7;22.0;28.8;25.7;90.0;0.9;2.0;1.0;180.0;W 
238555;29/03/2010;0.2;24.2;30.9;26.6;88.0;2.4;2.0;1.0;135.0;E 
238556;30/03/2010;28.1;23.0;30.0;25.5;94.0;1.4;3.0;2.0;225.0;S 
238557;31/03/2010;28.8;23.5;26.8;24.2;96.0;0.0;2.0;1.0;270.0;W 
238558;04/01/2010;22.0;23.3;31.9;27.1;84.0;7.6;3.0;2.0;180.0;SW
238559;04/02/2010;;24.4;32.4;27.7;85.0;7.4;4.0;2.0;270.0;W 
238560;04/03/2010;;24.8;32.1;25.8;92.0;3.5;6.0;2.0;315.0;NE
238561;04/04/2010;1.5;23.6;32.7;27.8;82.0;7.9;2.0;1.0;45.0;N 
238562;04/05/2010;26.6;22.7;32.0;26.0;90.0;5.2;3.0;1.0;270.0;N 
238563;04/06/2010;1.0;25.2;31.8;28.0;82.0;6.9;4.0;2.0;360.0;N 
238564;04/07/2010;;25.0;33.0;28.4;82.0;6.4;2.0;1.0;270.0;N 
238565;04/08/2010;;24.7;32.0;27.1;88.0;4.1;2.0;1.0;45.0;NE
238566;04/09/2010;0.1;24.4;31.6;27.0;89.0;1.5;2.0;1.0;270.0;W 
238567;04/10/2010;25.9;23.4;31.8;26.5;87.0;2.0;3.0;1.0;90.0;N 
238568;04/11/2010;0.0;25.0;29.8;25.8;92.0;0.4;5.0;2.0;270.0;E 
238569;04/12/2010;4.3;23.8;32.0;27.2;85.0;3.6;2.0;1.0;90.0;E 
238570;13/04/2010;0.0;24.8;34.3;28.2;84.0;8.0;4.0;2.0;270.0;E 
238571;14/04/2010;60.5;23.4;33.0;24.9;93.0;0.0;3.0;2.0;45.0;N 
238572;15/04/2010;0.6;22.8;32.5;26.4;86.0;7.2;2.0;1.0;270.0;W 
238573;16/04/2010;;23.7;33.6;28.9;80.0;8.0;1.0;0.0;360.0;N 
238574;17/04/2010;17.5;24.2;32.2;27.0;88.0;5.6;4.0;3.0;360.0;N 
238575;18/04/2010;0.0;24.8;31.0;27.2;88.0;4.3;3.0;2.0;360.0;NW
238576;19/04/2010;7.8;23.8;29.0;26.3;90.0;0.6;2.0;1.0;360.0;N 
238577;20/04/2010;29.0;23.5;30.2;26.8;88.0;3.3;3.0;1.0;360.0;N 
238578;21/04/2010;0.0;24.9;31.6;27.2;90.0;6.3;3.0;1.0;45.0;N 
238579;22/04/2010;0.0;24.6;32.6;28.0;84.0;5.7;2.0;1.0;45.0;NE
238580;23/04/2010;8.3;25.5;32.0;28.1;87.0;3.6;3.0;2.0;360.0;N 
238581;24/04/2010;9.8;24.3;31.8;27.5;86.0;3.2;3.0;1.0;360.0;N 
238582;25/04/2010;;24.5;32.2;27.0;89.0;7.9;3.0;2.0;360.0;N 
238583;26/04/2010;7.0;25.1;33.3;28.3;84.0;3.9;3.0;2.0;180.0;E 
238584;27/04/2010;;25.0;32.8;28.0;86.0;4.1;2.0;1.0;45.0;NE
238585;28/04/2010;19.9;24.1;31.6;27.3;86.0;4.7;4.0;2.0;270.0;W 
238586;29/04/2010;0.8;24.0;31.0;26.7;88.0;3.6;3.0;2.0;360.0;W 
238587;30/04/2010;0.4;23.8;33.0;28.3;80.0;7.3;2.0;1.0;270.0;W 
238588;05/01/2010;;25.2;34.2;28.9;78.0;7.9;4.0;3.0;90.0;E 
238589;05/02/2010;;25.0;32.8;27.3;89.0;3.1;3.0;2.0;180.0;S 
238590;05/03/2010;5.0;24.8;33.2;27.6;87.0;5.3;3.0;2.0;360.0;N 
238591;05/04/2010;;24.9;34.0;28.7;79.0;7.9;3.0;2.0;90.0;E 
238592;05/05/2010;;25.4;32.6;27.3;89.0;5.6;3.0;2.0;315.0;S 
238593;05/06/2010;11.3;24.2;32.8;27.2;88.0;4.4;3.0;2.0;45.0;N 
238594;05/07/2010;0.5;25.6;31.8;27.5;88.0;3.2;3.0;2.0;90.0;E 
238595;05/08/2010;14.1;24.0;33.0;27.6;85.0;3.7;2.0;2.0;270.0;S 
238596;05/09/2010;1.7;25.2;31.9;28.3;84.0;3.7;3.0;2.0;270.0;S 
238597;05/10/2010;4.5;25.0;33.6;27.8;84.0;6.5;4.0;2.0;270.0;N 
238598;05/11/2010;19.9;23.8;32.4;27.4;88.0;2.0;2.0;2.0;360.0;N 
238599;05/12/2010;33.5;23.6;33.1;26.9;87.0;2.6;2.0;1.0;360.0;N 
238600;13/05/2010;2.5;24.8;30.4;27.4;88.0;4.8;3.0;2.0;360.0;N 
238601;14/05/2010;0.5;24.0;33.1;28.3;82.0;7.9;2.0;1.0;360.0;N 
238602;15/05/2010;5.5;23.6;30.9;26.8;88.0;0.0;3.0;1.0;270.0;N 
238603;16/05/2010;12.5;23.6;29.9;27.1;84.0;1.5;2.0;0.0;90.0;E 
238604;17/05/2010;;25.1;32.6;29.6;78.0;7.4;2.0;1.0;45.0;N 
238605;18/05/2010;;26.0;34.1;28.6;83.0;7.0;4.0;1.0;135.0;SE
238606;19/05/2010;1.0;25.5;33.7;28.0;83.0;7.0;4.0;2.0;180.0;N 
238607;20/05/2010;11.4;23.2;32.3;27.1;90.0;6.3;2.0;1.0;360.0;N 
238608;21/05/2010;1.2;24.9;28.7;25.5;96.0;0.0;2.0;1.0;270.0;W 
238609;22/05/2010;1.3;24.2;31.5;26.9;88.0;3.5;2.0;2.0;180.0;E 
238610;23/05/2010;;24.0;32.6;27.6;84.0;5.5;4.0;2.0;180.0;S 
238611;24/05/2010;4.4;24.6;32.6;27.2;86.0;5.3;4.0;1.0;135.0;NE
238612;25/05/2010;34.3;24.2;32.0;28.2;84.0;7.6;5.0;3.0;360.0;N 
238613;26/05/2010;2.3;25.8;29.0;26.1;96.0;0.0;3.0;2.0;180.0;E 
238614;27/05/2010;3.0;24.2;30.2;25.8;92.0;3.5;4.0;2.0;360.0;N 
238615;28/05/2010;0.6;23.4;32.5;27.3;84.0;6.0;3.0;1.0;360.0;N 
238616;29/05/2010;;24.7;33.2;27.8;83.0;7.7;4.0;2.0;360.0;E 
238617;30/05/2010;;24.2;33.2;28.2;83.0;5.5;3.0;2.0;90.0;E 
238618;31/05/2010;0.0;24.2;30.3;26.9;90.0;1.1;3.0;2.0;360.0;NE
238619;06/01/2010;0.0;23.9;31.6;26.3;92.0;5.2;3.0;2.0;225.0;E 
238620;06/02/2010;27.3;23.8;31.6;24.8;97.0;1.7;3.0;2.0;180.0;S 
238621;06/03/2010;2.2;24.1;30.8;26.7;90.0;3.9;3.0;1.0;315.0;N 
238622;06/04/2010;85.1;24.0;32.4;27.2;88.0;1.3;2.0;1.0;90.0;E 
238623;06/05/2010;6.6;23.9;33.3;27.5;84.0;5.1;4.0;2.0;270.0;N 
238624;06/06/2010;0.5;24.6;31.5;27.1;88.0;4.5;2.0;2.0;45.0;N 
238625;06/07/2010;;24.5;31.6;26.1;92.0;4.1;3.0;1.0;90.0;E 
238626;06/08/2010;15.2;23.7;32.3;26.3;90.0;3.8;4.0;2.0;180.0;N 
238627;06/09/2010;8.3;24.6;28.6;26.5;93.0;0.0;4.0;2.0;180.0;S 
238628;06/10/2010;19.2;22.8;30.6;26.2;87.0;1.7;4.0;2.0;360.0;NE
238629;06/11/2010;0.2;24.6;32.2;26.8;88.0;6.0;4.0;2.0;90.0;E 
238630;06/12/2010;0.2;24.2;33.6;27.9;82.0;7.6;2.0;2.0;360.0;NE
238631;13/06/2010;0.5;23.9;31.1;25.9;100.0;1.2;4.0;1.0;180.0;N 
238632;14/06/2010;36.8;23.4;30.2;25.7;90.0;3.4;3.0;1.0;45.0;S 
238633;15/06/2010;;23.7;30.0;26.9;90.0;1.4;3.0;1.0;90.0;E 
238634;16/06/2010;0.1;24.4;31.6;26.9;86.0;4.0;2.0;2.0;270.0;NE
238635;17/06/2010;6.0;24.0;26.9;25.2;95.0;0.0;4.0;1.0;180.0;W 
238636;18/06/2010;52.3;23.8;30.1;26.3;90.0;0.3;3.0;2.0;360.0;E 
238637;19/06/2010;0.0;23.6;30.4;26.4;88.0;3.2;3.0;1.0;180.0;E 
238638;20/06/2010;1.0;23.6;27.6;24.4;95.0;0.0;2.0;1.0;45.0;E 
238639;21/06/2010;2.4;22.5;31.6;27.0;80.0;6.7;4.0;2.0;90.0;E 
238640;22/06/2010;;24.2;32.1;27.5;80.0;7.1;5.0;3.0;90.0;E 
238641;23/06/2010;0.0;24.4;29.2;25.2;94.0;0.2;2.0;1.0;90.0;S 
238642;24/06/2010;3.7;23.4;30.4;26.3;86.0;3.3;3.0;1.0;180.0;E 
238643;25/06/2010;0.0;23.8;31.0;26.1;92.0;4.6;4.0;1.0;225.0;SW
238644;26/06/2010;60.9;22.6;29.9;25.3;93.0;2.2;2.0;1.0;135.0;S 
238645;27/06/2010;0.5;23.1;32.0;26.1;88.0;5.1;2.0;2.0;270.0;S 
238646;28/06/2010;33.7;24.0;32.6;26.6;87.0;5.1;3.0;2.0;180.0;NE
238647;29/06/2010;0.0;24.0;32.2;25.9;90.0;4.1;3.0;2.0;90.0;E 
238648;30/06/2010;3.0;24.4;32.2;27.7;83.0;6.9;2.0;1.0;90.0;E 
238649;07/01/2010;;24.2;32.6;28.2;77.0;6.2;3.0;2.0;90.0;E 
238650;07/02/2010;0.2;24.4;33.1;27.4;84.0;6.1;4.0;2.0;270.0;E 
238651;07/03/2010;1.8;24.2;30.4;25.8;95.0;2.2;2.0;1.0;225.0;S 
238652;07/04/2010;2.2;23.8;30.6;25.5;94.0;4.0;2.0;1.0;270.0;S 
238653;07/05/2010;13.4;24.6;27.2;24.9;96.0;0.0;2.0;1.0;360.0;N 
238654;07/06/2010;4.2;23.4;31.4;26.6;88.0;5.2;3.0;2.0;45.0;E 
238655;07/07/2010;;23.8;32.4;28.0;81.0;7.3;3.0;1.0;225.0;S 
238656;07/08/2010;;24.1;34.2;27.2;84.0;4.5;3.0;2.0;225.0;SW
238657;07/09/2010;3.2;23.8;30.1;26.2;90.0;1.6;3.0;2.0;180.0;S 
238658;07/10/2010;0.0;22.6;30.2;25.7;90.0;1.3;2.0;0.0;360.0;NE
238659;07/11/2010;0.8;23.6;32.4;26.9;86.0;4.3;3.0;1.0;180.0;S 
238660;07/12/2010;0.1;23.0;32.6;26.8;87.0;6.0;3.0;2.0;180.0;E 
238661;13/07/2010;;23.7;31.5;26.1;89.0;5.1;4.0;2.0;225.0;S 
238662;14/07/2010;;23.8;30.8;26.5;86.0;2.6;4.0;2.0;90.0;E 
238663;15/07/2010;;23.0;30.4;25.6;91.0;2.0;5.0;2.0;90.0;E 
238664;16/07/2010;10.5;23.4;31.4;26.3;87.0;4.1;3.0;2.0;90.0;E 
238665;17/07/2010;0.0;24.0;29.8;25.7;91.0;0.4;3.0;1.0;90.0;E 
238666;18/07/2010;6.9;23.4;29.1;25.2;93.0;0.0;2.0;1.0;90.0;E 
238667;19/07/2010;7.0;22.2;27.6;24.6;92.0;0.0;3.0;2.0;225.0;S 
238668;20/07/2010;66.7;23.0;29.0;24.4;97.0;0.0;1.0;0.0;360.0;N 
238669;21/07/2010;4.4;23.0;29.0;24.9;92.0;0.4;2.0;1.0;90.0;E 
238670;22/07/2010;0.7;23.4;28.2;24.3;97.0;0.4;2.0;0.0;180.0;S 
238671;23/07/2010;20.8;23.1;28.1;24.7;94.0;0.0;3.0;2.0;90.0;E 
238672;24/07/2010;0.0;23.7;29.8;25.1;94.0;2.0;3.0;2.0;180.0;NE
238673;25/07/2010;22.5;23.8;27.0;24.9;92.0;0.0;4.0;2.0;90.0;E 
238674;26/07/2010;1.2;22.0;31.8;25.9;84.0;3.2;3.0;1.0;360.0;S 
238675;27/07/2010;;24.4;31.0;26.2;90.0;4.0;4.0;1.0;90.0;N 
238676;28/07/2010;4.4;23.6;29.8;25.6;93.0;1.2;3.0;2.0;360.0;S 
238677;29/07/2010;0.5;23.0;23.8;25.0;92.0;0.8;3.0;1.0;90.0;N 
238678;30/07/2010;0.2;23.2;31.6;26.9;82.0;2.1;3.0;2.0;180.0;E 
238679;31/07/2010;;23.7;30.5;26.6;86.0;1.6;3.0;2.0;180.0;S 
238680;08/01/2010;13.8;23.6;29.6;25.7;89.0;0.0;2.0;1.0;180.0;E 
238681;08/02/2010;2.3;24.0;30.8;24.7;94.0;3.9;3.0;2.0;180.0;E 
238682;08/03/2010;4.5;23.1;29.8;25.4;92.0;2.3;3.0;2.0;180.0;N 
238683;08/04/2010;6.9;23.6;29.6;25.6;91.0;1.3;2.0;1.0;90.0;E 
238684;08/05/2010;0.0;23.0;30.8;26.2;87.0;4.1;5.0;1.0;180.0;E 
238685;08/06/2010;0.0;23.5;28.6;25.5;90.0;1.2;4.0;2.0;135.0;E 
238686;08/07/2010;0.0;23.0;32.1;26.5;86.0;5.0;4.0;1.0;90.0;E 
238687;08/08/2010;1.4;23.8;31.2;26.4;88.0;3.0;3.0;1.0;180.0;E 
238688;08/09/2010;;23.0;32.4;26.8;84.0;6.3;4.0;2.0;90.0;E 
238689;08/10/2010;;24.6;28.1;25.2;93.0;0.0;3.0;2.0;45.0;E 
238690;08/11/2010;0.3;23.5;32.4;26.5;84.0;4.3;4.0;2.0;45.0;N 
238691;08/12/2010;2.3;24.1;32.4;27.2;84.0;4.2;4.0;2.0;180.0;S 
238692;13/08/2010;;25.2;32.5;27.5;84.0;6.1;3.0;1.0;180.0;S 
238693;14/08/2010;0.0;24.8;33.8;28.3;77.0;4.9;5.0;3.0;180.0;E 
238694;15/08/2010;;24.3;31.4;26.7;87.0;3.6;4.0;2.0;135.0;E 
238695;16/08/2010;;23.2;32.2;26.8;85.0;6.0;6.0;2.0;180.0;S 
238696;17/08/2010;0.8;22.6;32.7;26.6;83.0;6.4;3.0;1.0;360.0;W 
238697;18/08/2010;8.8;24.9;29.9;26.2;88.0;0.0;3.0;1.0;90.0;E 
238698;19/08/2010;26.6;23.0;29.6;24.9;92.0;2.0;3.0;0.0;180.0;S 
238699;20/08/2010;25.8;23.4;32.2;26.8;88.0;4.9;4.0;2.0;180.0;E 
238700;21/08/2010;1.3;22.9;30.8;25.5;90.0;1.5;3.0;1.0;180.0;E 
238701;22/08/2010;66.6;23.6;26.8;25.0;96.0;0.0;3.0;1.0;270.0;E 
238702;23/08/2010;0.7;23.6;27.2;26.6;88.0;4.0;4.0;2.0;180.0;NE
238703;24/08/2010;0.0;24.1;32.6;26.1;88.0;4.9;4.0;2.0;270.0;E 
238704;25/08/2010;12.8;23.0;33.4;27.1;80.0;5.6;3.0;1.0;90.0;E 
238705;26/08/2010;0.0;23.3;33.4;28.0;79.0;6.2;3.0;2.0;180.0;E 
238706;27/08/2010;;23.3;31.2;25.1;93.0;4.1;5.0;3.0;180.0;NE
238707;28/08/2010;53.0;21.6;32.6;26.4;86.0;4.5;3.0;1.0;180.0;S 
238708;29/08/2010;0.0;23.6;31.2;26.9;86.0;3.6;4.0;0.0;180.0;NE
238709;30/08/2010;11.5;23.3;30.9;26.5;88.0;4.4;3.0;1.0;225.0;S 
238710;31/08/2010;1.0;23.8;30.6;25.3;89.0;3.6;4.0;2.0;180.0;E 
238711;09/01/2010;58.6;22.8;31.0;25.5;92.0;0.0;3.0;2.0;225.0;S 
238712;09/02/2010;19.4;22.0;33.6;27.1;82.0;7.9;3.0;2.0;90.0;E 
238713;09/03/2010;;24.3;29.2;25.2;93.0;0.0;3.0;1.0;180.0;S 
238714;09/04/2010;0.4;23.0;30.5;26.1;87.0;0.5;3.0;2.0;90.0;E 
238715;09/05/2010;0.8;23.6;30.8;25.4;93.0;1.4;4.0;1.0;180.0;E 
238716;09/06/2010;0.2;23.8;28.3;25.3;92.0;0.0;2.0;1.0;315.0;SW
238717;09/07/2010;7.6;23.1;29.1;24.6;94.0;0.0;3.0;1.0;225.0;E 
238718;09/08/2010;19.0;22.5;31.2;26.2;84.0;2.3;2.0;0.0;180.0;S 
238719;09/09/2010;;23.3;29.8;25.4;92.0;1.9;4.0;2.0;360.0;N 
238720;09/10/2010;0.0;23.8;31.2;26.8;85.0;3.5;2.0;1.0;360.0;N 
238721;09/11/2010;0.4;23.8;29.9;23.8;98.0;0.0;4.0;2.0;90.0;E 
238722;09/12/2010;29.9;22.4;32.6;25.1;84.0;7.1;4.0;2.0;180.0;S 
238723;13/09/2010;0.0;22.8;31.6;26.0;86.0;4.2;4.0;1.0;180.0;S 
238724;14/09/2010;;23.0;31.5;26.9;86.0;7.0;4.0;2.0;180.0;N 
238725;15/09/2010;;23.9;33.4;27.4;80.0;5.7;4.0;3.0;315.0;N 
238726;16/09/2010;23.3;23.8;27.2;25.2;92.0;0.0;3.0;2.0;135.0;NW
238727;17/09/2010;0.0;23.4;31.0;26.6;85.0;1.7;2.0;1.0;360.0;N 
238728;18/09/2010;0.2;23.2;31.3;25.9;90.0;4.2;6.0;2.0;180.0;SE
238729;19/09/2010;62.7;22.2;31.1;24.4;95.0;1.6;3.0;2.0;180.0;E 
238730;20/09/2010;16.0;22.1;33.6;27.6;79.0;7.9;4.0;2.0;180.0;S 
238731;21/09/2010;0.8;24.4;32.9;27.3;83.0;6.1;4.0;2.0;90.0;E 
238732;22/09/2010;22.4;23.8;31.0;26.5;88.0;3.2;3.0;2.0;180.0;S 
238733;23/09/2010;0.0;23.6;32.4;27.3;87.0;5.5;4.0;2.0;180.0;S 
238734;24/09/2010;1.9;24.2;32.1;26.2;92.0;3.2;5.0;2.0;135.0;N 
238735;25/09/2010;32.2;23.7;32.7;27.7;84.0;2.0;3.0;1.0;180.0;NE
238736;26/09/2010;0.2;23.6;30.5;25.0;98.0;4.1;2.0;0.0;270.0;N 
238737;27/09/2010;19.1;23.3;28.8;25.5;94.0;0.2;3.0;1.0;360.0;N 
238738;28/09/2010;9.7;23.4;31.4;25.0;94.0;3.7;4.0;2.0;135.0;NW
238739;29/09/2010;11.3;22.6;28.6;24.7;94.0;1.0;3.0;2.0;90.0;S 
238740;30/09/2010;2.1;23.1;31.2;27.0;84.0;6.2;3.0;2.0;180.0;N 
238741;10/01/2010;0.0;23.4;31.8;27.1;85.0;1.0;2.0;1.0;90.0;N 
238742;10/02/2010;;24.4;33.4;28.3;78.0;7.5;4.0;3.0;90.0;NE
238743;10/03/2010;;25.0;33.4;28.5;80.0;2.6;3.0;2.0;90.0;E 
238744;10/04/2010;1.8;25.0;31.9;27.2;90.0;0.2;2.0;0.0;90.0;S 
238745;10/05/2010;26.9;24.1;32.8;27.2;87.0;4.4;3.0;2.0;90.0;E 
238746;10/06/2010;7.0;24.2;31.3;26.0;90.0;2.4;3.0;2.0;180.0;S 
238747;10/07/2010;1.2;24.8;30.0;25.6;93.0;1.8;3.0;2.0;270.0;E 
238748;10/08/2010;22.6;23.4;29.6;25.4;92.0;0.0;2.0;1.0;360.0;N 
238749;10/09/2010;51.8;23.0;30.6;25.9;86.0;1.7;2.0;1.0;270.0;W 
238750;10/10/2010;0.8;24.3;31.6;26.9;86.0;5.8;4.0;2.0;270.0;W 
238751;10/11/2010;;24.0;32.0;27.1;85.0;6.0;3.0;2.0;180.0;W 
238752;10/12/2010;;24.2;33.1;28.1;80.0;6.6;2.0;1.0;270.0;NE
238753;13/10/2010;;23.8;33.8;28.2;75.0;8.0;3.0;1.0;270.0;W 
238754;14/10/2010;0.0;22.6;31.6;26.7;76.0;6.7;2.0;2.0;270.0;N 
